wavelength scat1 absorb1 extinct1 scat2 absorb2 extinct2 scat3 absorb3 extinct3 scat4 absorb4 extinct4
400.00000000 0.00153447 0.00753106 0.00906553 0.00153480 0.00756640 0.00910119 0.00187662 0.00809837 0.00997499 0.00187528 0.00808414 0.00995941
400.25017870 0.00153157 0.00752640 0.00905797 0.00153190 0.00756172 0.00909362 0.00187302 0.00809432 0.00996734 0.00187168 0.00808009 0.00995177
400.50035740 0.00152868 0.00752175 0.00905043 0.00152901 0.00755705 0.00908606 0.00186943 0.00809028 0.00995971 0.00186809 0.00807605 0.00994414
400.75053610 0.00152580 0.00751711 0.00904290 0.00152613 0.00755238 0.00907850 0.00186585 0.00808624 0.00995208 0.00186451 0.00807200 0.00993652
401.00071480 0.00152292 0.00751247 0.00903539 0.00152325 0.00754771 0.00907096 0.00186227 0.00808219 0.00994447 0.00186094 0.00806796 0.00992890
401.25089350 0.00152004 0.00750783 0.00902788 0.00152038 0.00754306 0.00906343 0.00185870 0.00807816 0.00993686 0.00185737 0.00806392 0.00992130
401.50107219 0.00151718 0.00750320 0.00902038 0.00151751 0.00753840 0.00905591 0.00185514 0.00807412 0.00992926 0.00185381 0.00805988 0.00991370
401.75125089 0.00151432 0.00749858 0.00901290 0.00151465 0.00753376 0.00904841 0.00185159 0.00807008 0.00992167 0.00185026 0.00805585 0.00990611
402.00142959 0.00151146 0.00749396 0.00900542 0.00151180 0.00752911 0.00904091 0.00184804 0.00806605 0.00991409 0.00184672 0.00805181 0.00989853
402.25160829 0.00150862 0.00748934 0.00899796 0.00150895 0.00752448 0.00903343 0.00184450 0.00806202 0.00990652 0.00184318 0.00804778 0.00989096
402.50178699 0.00150577 0.00748474 0.00899051 0.00150611 0.00751984 0.00902595 0.00184097 0.00805798 0.00989896 0.00183965 0.00804375 0.00988341
402.75196569 0.00150294 0.00748013 0.00898307 0.00150327 0.00751522 0.00901849 0.00183745 0.00805396 0.00989140 0.00183613 0.00803972 0.00987585
403.00214439 0.00150011 0.00747553 0.00897564 0.00150044 0.00751059 0.00901104 0.00183393 0.00804993 0.00988386 0.00183262 0.00803569 0.00986831
403.25232309 0.00149728 0.00747094 0.00896822 0.00149762 0.00750598 0.00900359 0.00183042 0.00804590 0.00987632 0.00182911 0.00803167 0.00986078
