wavelength scat1 absorb1 extinct1 scat2 absorb2 extinct2 scat3 absorb3 extinct3 scat4 absorb4 extinct4
400.00000000 0.00101309 0.00572605 0.00673914 0.00101273 0.00574307 0.00675580 0.00110676 0.00643629 0.00754305 0.00110572 0.00642813 0.00753385
400.25017870 0.00101100 0.00572265 0.00673365 0.00101064 0.00573965 0.00675029 0.00110452 0.00643279 0.00753730 0.00110348 0.00642463 0.00752811
400.50035740 0.00100892 0.00571925 0.00672817 0.00100856 0.00573624 0.00674480 0.00110228 0.00642929 0.00753157 0.00110124 0.00642113 0.00752237
400.75053610 0.00100684 0.00571585 0.00672269 0.00100648 0.00573283 0.00673932 0.00110005 0.00642579 0.00752584 0.00109901 0.00641763 0.00751665
401.00071480 0.00100477 0.00571246 0.00671723 0.00100441 0.00572943 0.00673384 0.00109782 0.00642229 0.00752011 0.00109679 0.00641414 0.00751093
401.25089350 0.00100270 0.00570907 0.00671177 0.00100235 0.00572603 0.00672837 0.00109560 0.00641880 0.00751440 0.00109457 0.00641065 0.00750522
401.50107219 0.00100064 0.00570568 0.00670632 0.00100028 0.00572263 0.00672291 0.00109338 0.00641531 0.00750869 0.00109236 0.00640717 0.00749952
401.75125089 0.00099858 0.00570230 0.00670088 0.00099823 0.00571923 0.00671746 0.00109117 0.00641183 0.00750300 0.00109015 0.00640368 0.00749383
402.00142959 0.00099653 0.00569892 0.00669544 0.00099618 0.00571584 0.00671201 0.00108897 0.00640834 0.00749731 0.00108794 0.00640020 0.00748814
402.25160829 0.00099448 0.00569554 0.00669002 0.00099413 0.00571245 0.00670658 0.00108676 0.00640486 0.00749162 0.00108575 0.00639672 0.00748247
402.50178699 0.00099244 0.00569216 0.00668460 0.00099209 0.00570906 0.00670115 0.00108457 0.00640138 0.00748595 0.00108355 0.00639324 0.00747680
402.75196569 0.00099040 0.00568879 0.00667919 0.00099005 0.00570568 0.00669573 0.00108238 0.00639791 0.00748028 0.00108136 0.00638977 0.00747114
403.00214439 0.00098836 0.00568543 0.00667379 0.00098802 0.00570230 0.00669032 0.00108019 0.00639443 0.00747463 0.00107918 0.00638630 0.00746548
403.25232309 0.00098634 0.00568206 0.00666840 0.00098599 0.00569892 0.00668492 0.00107801 0.00639096 0.00746898 0.00107700 0.00638283 0.00745984
403.50250179 0.00098431 0.00567870 0.00666301 0.00098397 0.00569555 0.00667952 0.00107584 0.00638750 0.00746333 0.00107483 0.00637937 0.00745420
403.75268049 0.00098229 0.00567534 0.00665764 0.00098195 0.00569218 0.00667413 0.00107367 0.00638403 0.00745770 0.00107266 0.00637591 0.00744857
404.00285919 0.00098028 0.00567199 0.00665227 0.00097994 0.00568881 0.00666876 0.00107150 0.00638057 0.00745207 0.00107050 0.00637245 0.00744295
404.25303788 0.00097827 0.00566863 0.00664691 0.00097793 0.00568545 0.00666338 0.00106934 0.00637711 0.00744645 0.00106834 0.00636899 0.00743733
404.50321658 0.00097627 0.00566529 0.00664155 0.00097593 0.00568209 0.00665802 0.00106719 0.00637365 0.00744084 0.00106619 0.00636554 0.00743173
404.75339528 0.00097427 0.00566194 0.00663621 0.00097393 0.00567873 0.00665267 0.00106504 0.00637020 0.00743524 0.00106404 0.00636209 0.00742613
