wavelength scat1 absorb1 extinct1 scat2 absorb2 extinct2 scat3 absorb3 extinct3 scat4 absorb4 extinct4
400.00000000 0.00151929 0.00742561 0.00894490 0.00151949 0.00757313 0.00909262 0.00190326 0.00829632 0.01019957 0.00189566 0.00823890 0.01013456
400.25017870 0.00151642 0.00742102 0.00893744 0.00151663 0.00756845 0.00908507 0.00189963 0.00829231 0.01019194 0.00189205 0.00823488 0.01012693
400.50035740 0.00151356 0.00741643 0.00892999 0.00151377 0.00756377 0.00907754 0.00189602 0.00828830 0.01018432 0.00188845 0.00823087 0.01011932
400.75053610 0.00151070 0.00741185 0.00892255 0.00151091 0.00755910 0.00907001 0.00189241 0.00828430 0.01017670 0.00188485 0.00822685 0.01011171
401.00071480 0.00150784 0.00740728 0.00891512 0.00150806 0.00755443 0.00906249 0.00188881 0.00828029 0.01016910 0.00188127 0.00822284 0.01010411
401.25089350 0.00150500 0.00740271 0.00890771 0.00150522 0.00754976 0.00905499 0.00188521 0.00827629 0.01016150 0.00187769 0.00821883 0.01009652
401.50107219 0.00150216 0.00739814 0.00890030 0.00150239 0.00754511 0.00904749 0.00188162 0.00827229 0.01015391 0.00187412 0.00821482 0.01008894
401.75125089 0.00149932 0.00739358 0.00889290 0.00149956 0.00754045 0.00904001 0.00187804 0.00826829 0.01014634 0.00187055 0.00821082 0.01008137
402.00142959 0.00149649 0.00738903 0.00888552 0.00149673 0.00753581 0.00903254 0.00187447 0.00826429 0.01013877 0.00186699 0.00820681 0.01007380
402.25160829 0.00149367 0.00738448 0.00887815 0.00149392 0.00753116 0.00902508 0.00187091 0.00826030 0.01013120 0.00186344 0.00820281 0.01006625
402.50178699 0.00149085 0.00737993 0.00887079 0.00149110 0.00752652 0.00901763 0.00186735 0.00825630 0.01012365 0.00185990 0.00819880 0.01005871
402.75196569 0.00148804 0.00737539 0.00886343 0.00148830 0.00752189 0.00901019 0.00186380 0.00825231 0.01011611 0.00185637 0.00819480 0.01005117
403.00214439 0.00148524 0.00737086 0.00885609 0.00148550 0.00751726 0.00900276 0.00186026 0.00824832 0.01010857 0.00185284 0.00819081 0.01004364
403.25232309 0.00148244 0.00736633 0.00884877 0.00148270 0.00751264 0.00899534 0.00185672 0.00824433 0.01010105 0.00184932 0.00818681 0.01003613
403.50250179 0.00147965 0.00736180 0.00884145 0.00147991 0.00750802 0.00898794 0.00185319 0.00824034 0.01009353 0.00184580 0.00818281 0.01002862
