wavelength scat1 absorb1 extinct1 scat2 absorb2 extinct2 scat3 absorb3 extinct3 scat4 absorb4 extinct4
400.00000000 0.00151739 0.00741608 0.00893347 0.00151742 0.00756924 0.00908666 0.00190654 0.00832051 0.01022705 0.00189836 0.00826115 0.01015952
400.25017870 0.00151452 0.00741149 0.00892601 0.00151456 0.00756455 0.00907911 0.00190292 0.00831651 0.01021942 0.00189475 0.00825714 0.01015189
400.50035740 0.00151166 0.00740691 0.00891857 0.00151170 0.00755988 0.00907158 0.00189930 0.00831251 0.01021180 0.00189115 0.00825313 0.01014428
400.75053610 0.00150880 0.00740234 0.00891114 0.00150885 0.00755521 0.00906406 0.00189568 0.00830851 0.01020419 0.00188755 0.00824912 0.01013667
401.00071480 0.00150595 0.00739777 0.00890372 0.00150601 0.00755054 0.00905655 0.00189208 0.00830451 0.01019659 0.00188396 0.00824512 0.01012908
401.25089350 0.00150311 0.00739320 0.00889631 0.00150317 0.00754588 0.00904905 0.00188848 0.00830051 0.01018900 0.00188038 0.00824111 0.01012149
401.50107219 0.00150027 0.00738864 0.00888891 0.00150034 0.00754123 0.00904156 0.00188489 0.00829652 0.01018141 0.00187681 0.00823711 0.01011391
401.75125089 0.00149744 0.00738409 0.00888153 0.00149751 0.00753657 0.00903409 0.00188131 0.00829253 0.01017383 0.00187324 0.00823310 0.01010634
402.00142959 0.00149461 0.00737954 0.00887415 0.00149469 0.00753193 0.00902662 0.00187773 0.00828853 0.01016627 0.00186968 0.00822910 0.01009878
402.25160829 0.00149180 0.00737499 0.00886679 0.00149188 0.00752729 0.00901917 0.00187417 0.00828454 0.01015871 0.00186613 0.00822510 0.01009123
402.50178699 0.00148898 0.00737045 0.00885944 0.00148907 0.00752265 0.00901172 0.00187061 0.00828055 0.01015116 0.00186259 0.00822110 0.01008369
402.75196569 0.00148617 0.00736592 0.00885209 0.00148627 0.00751802 0.00900429 0.00186705 0.00827657 0.01014362 0.00185905 0.00821711 0.01007616
403.00214439 0.00148337 0.00736139 0.00884476 0.00148347 0.00751340 0.00899687 0.00186351 0.00827258 0.01013609 0.00185552 0.00821311 0.01006863
