wavelength scat1 absorb1 extinct1 scat2 absorb2 extinct2 scat3 absorb3 extinct3 scat4 absorb4 extinct4
400.00000000 0.00147874 0.00727837 0.00875711 0.00147502 0.00739784 0.00887286 0.00195930 0.00878733 0.01074663 0.00194700 0.00874400 0.01069100
400.25017870 0.00147594 0.00727386 0.00874980 0.00147224 0.00739326 0.00886550 0.00195565 0.00878350 0.01073915 0.00194337 0.00874014 0.01068351
400.50035740 0.00147314 0.00726935 0.00874249 0.00146946 0.00738868 0.00885814 0.00195201 0.00877967 0.01073167 0.00193975 0.00873629 0.01067604
400.75053610 0.00147036 0.00726485 0.00873520 0.00146669 0.00738411 0.00885080 0.00194837 0.00877584 0.01072421 0.00193614 0.00873244 0.01066858
401.00071480 0.00146758 0.00726035 0.00872792 0.00146392 0.00737955 0.00884347 0.00194474 0.00877202 0.01071675 0.00193253 0.00872859 0.01066112
401.25089350 0.00146480 0.00725585 0.00872065 0.00146116 0.00737499 0.00883615 0.00194111 0.00876819 0.01070930 0.00192894 0.00872473 0.01065367
401.50107219 0.00146203 0.00725136 0.00871339 0.00145841 0.00737044 0.00882884 0.00193750 0.00876437 0.01070186 0.00192534 0.00872088 0.01064623
401.75125089 0.00145927 0.00724688 0.00870615 0.00145566 0.00736589 0.00882154 0.00193389 0.00876054 0.01069443 0.00192176 0.00871704 0.01063880
402.00142959 0.00145651 0.00724240 0.00869891 0.00145291 0.00736134 0.00881425 0.00193029 0.00875672 0.01068701 0.00191818 0.00871319 0.01063137
402.25160829 0.00145376 0.00723792 0.00869168 0.00145018 0.00735680 0.00880698 0.00192669 0.00875290 0.01067959 0.00191462 0.00870934 0.01062396
402.50178699 0.00145101 0.00723346 0.00868447 0.00144745 0.00735227 0.00879971 0.00192311 0.00874908 0.01067218 0.00191105 0.00870550 0.01061655
402.75196569 0.00144827 0.00722899 0.00867726 0.00144472 0.00734773 0.00879245 0.00191953 0.00874526 0.01066478 0.00190750 0.00870165 0.01060915
403.00214439 0.00144554 0.00722453 0.00867007 0.00144200 0.00734321 0.00878521 0.00191596 0.00874144 0.01065739 0.00190395 0.00869781 0.01060176
