             eV             nm  Absorbance(f)     XX(length)     YY(length)     ZZ(length)      R(length)   XX(velocity)   YY(velocity)   ZZ(velocity)    R(velocity)
         0.9112      1360.6300         0.0003         2.6696         0.7908       -20.4133        -5.6510       -13.5092        -4.1583         3.3965        -4.7570
         1.2242      1012.8000         0.0014       -12.3278      -131.0174         1.3865       -47.3196       -75.3124        -5.0930       -81.7191       -54.0415
         1.2580       985.5800         0.0010       -17.8189        75.3903        42.7551        33.4422        67.1371        14.0483        29.4097        36.8651
         1.3126       944.5700         0.0019        -9.4295        40.5718       -81.4228       -16.7602       -34.6598       -46.9733         8.7612       -24.2906
         1.3745       902.0600         0.0015        16.9229        38.7424       121.8036        59.1563        61.3078        53.9639        21.7698        45.6805
         1.5301       810.2800         0.0005       -15.9443       -47.6389       -34.2290       -32.6041       -38.0402        -5.0264       -13.6525       -18.9064
         1.5969       776.3900         0.0007        49.5233       124.2224      -120.8127        17.6443        43.0918       -34.0064       121.6007        43.5621
         1.6738       740.7200         0.0042       -34.9926        50.0383       -26.4917        -3.8153        26.0889       -33.2464        23.6025         5.4817
         1.7084       725.7300         0.0045       241.8388       -57.6136        -6.4268        59.2662       -30.5886       129.6534        92.0036        63.6895
         1.7493       708.7700         0.0003        14.4321       -74.8011       -21.2644       -27.2111       -57.3359        -7.8712       -52.9217       -39.3762
         1.8736       661.7500         0.0043        -7.7851        12.7296      -288.1967       -94.4174      -163.1607      -146.7042        14.7963       -98.3562
         1.8962       653.8600         0.0035         0.3738        40.5822      -138.1373       -32.3938       -58.9253       -70.3514        20.8630       -36.1379
         1.9844       624.7900         0.0063      -447.1785        60.7685         6.8136      -126.5321        38.0169      -243.0600      -211.9681      -139.0037
         2.0329       609.8900         0.0064       307.6098       -36.7780        30.8147       100.5488         7.3908       166.0945       164.5361       112.6738
         2.1215       584.4300         0.0008        -0.5809       -71.3462       -93.0300       -54.9857      -111.6865       -36.0687       -29.3746       -59.0432
         2.1334       581.1500         0.0110        40.7278        28.6142       -16.1894        17.7175        -9.7217        23.8318        43.4850        19.1984
         2.2129       560.2800         0.0048        12.5916       -33.0357        94.7457        24.7672        57.5871        38.9647        -0.3783        32.0578
         2.2666       547.0100         0.0036       -59.0031       215.7865       -21.1024        45.2270       112.8044       -54.2868        64.4855        41.0010
         2.2807       543.6300         0.0037       -80.2273       -23.4327        15.3234       -29.4455        -1.5893       -27.5291       -58.9275       -29.3486
         2.3126       536.1100         0.0001         3.9515        -2.3944       -51.5882       -16.6770       -33.2073       -12.3845       -10.3655       -18.6524
         2.3171       535.0800         0.0270       128.9855        56.0654        62.4403        82.4970        54.5899        94.4479       127.7489        92.2623
