             eV             nm  Absorbance(f)     XX(length)     YY(length)     ZZ(length)      R(length)   XX(velocity)   YY(velocity)   ZZ(velocity)    R(velocity)
         0.4330      2863.0700         0.0004        75.3574         2.7760        -9.5681        22.8551        -4.7558        23.9174        30.3525        16.5047
         0.4950      2504.7500         0.0001        -4.9238         0.4467       -43.4306       -15.9692       -25.1787       -25.3581         9.6160       -13.6403
         0.5417      2288.6100         0.0002        -0.3156       -77.9125         7.2597       -23.6562       -52.6058         3.6316       -59.3544       -36.1095
         0.5795      2139.4700         0.0012        71.7832         0.5342       -12.7206        19.8656        -8.3982        35.3374        40.8848        22.6080
         0.6139      2019.5300         0.0029       341.2081       116.8190       -35.7181       140.7697        78.1623       215.5480       341.2934       211.6679
         0.6269      1977.7500         0.0023       222.8375        -0.8175       -49.3254        57.5649       -24.1622        93.2447       118.4701        62.5175
         0.6584      1883.1000         0.0003       -30.7647        52.5487       -45.2088        -7.8082         0.5385       -44.1920         1.8590       -13.9315
         0.7292      1700.2900         0.0011       -40.6179        61.6751        16.8501        12.6358        21.8741       -21.6049         5.8555         2.0416
         0.7699      1610.4600         0.0022       128.0138       -19.3030         5.8610        38.1906        -0.2682        55.1950        56.1706        37.0325
         0.7999      1550.0900         0.0002       -14.8545       -29.9385        -7.8427       -17.5453        -9.6793        -9.4741       -21.1463       -13.4333
         0.8419      1472.7500         0.0003         4.8465       -36.5245       -11.6984       -14.4588       -13.7857        -0.3185        -6.3158        -6.8067
         0.9333      1328.4900         0.0005        68.4200         1.3105         2.3709        24.0338         1.6481        45.4178        45.7787        30.9482
         0.9766      1269.6000         0.0010       -25.6752         5.6360         4.3044        -5.2449        -4.1751       -19.4222       -18.3047       -13.9673
         0.9930      1248.6000         0.0022        78.2613        -1.1226        -0.2411        25.6325        -1.1568        58.7882        53.3740        37.0018
         1.0466      1184.6500         0.0001         0.9876         0.2450        -3.1074        -0.6250        -4.4587        -3.6330         2.3911        -1.9002
         1.0796      1148.4700         0.0014      -155.0775       -61.4844         5.0081       -70.5180       -45.0167       -90.6038      -136.7244       -90.7816
         1.1233      1103.7700         0.0012       -47.0822        24.1172        -3.0482        -8.6710        17.1376       -27.1143        -4.4801        -4.8189
         1.1655      1063.8200         0.0027        36.8422       -14.6483        12.2689        11.4876        -5.6670        18.6294        10.8227         7.9284
         1.1853      1046.0000         0.0093      -289.8531        23.4347         1.1358       -88.4275        12.2409      -179.0155      -184.9560      -117.2435
         1.1923      1039.8500         0.0016      -106.6148        16.1026        -8.1574       -32.8899         2.4115       -67.7982       -32.8170       -32.7346
         1.2481       993.3500         0.0003        23.6202        17.1456         0.1130        13.6263         7.2854        20.0959        31.5848        19.6554
         1.2556       987.4800         0.0007        57.2189         4.2594        10.1956        23.8913        10.9812        25.2461        28.5771        21.6015
         1.2747       972.6900         0.0009       -15.2834       -84.5035        46.1178       -17.8897       -26.9695        14.6058       -58.0136       -23.4591
         1.3155       942.5100         0.0035       -44.4003         1.4390         7.2320       -11.9098        14.1337       -16.3851       -15.3203        -5.8573
         1.3397       925.4500         0.0025        15.7818       -41.4608         8.0309        -5.8827       -29.8153        13.2061       -12.6618        -9.7570
         1.3699       905.0400         0.0023        25.2299        -3.9597        73.6223        31.6309        48.0662        51.4224         4.2474        34.5787
         1.3896       892.2500         0.0015        -8.6532         8.2004       -42.3995       -14.2841       -39.4054       -31.9589       -14.6076       -28.6573
         1.3990       886.2600         0.0005        38.5944        -5.9686        16.4392        16.3550        10.9016        25.0159        11.4853        15.8009
         1.4190       873.7300         0.0041        22.5946       -13.2962        49.4341        19.5775        17.5272        55.7459         1.7138        24.9957
         1.4325       865.5300         0.0029       -49.2586        13.1849        -7.2907       -14.4548        -6.0702       -23.8844       -11.6862       -13.8803
         1.4646       846.5600         0.0023       -46.9941        -9.3104       -16.2593       -24.1879       -13.0692       -30.8250       -34.8339       -26.2427
         1.4931       830.3900         0.0007         1.9445      -110.0914         3.1674       -34.9932       -66.4997        -3.2500       -60.1104       -43.2867
         1.5149       818.4400         0.0059        73.8677       -13.2002        -1.3508        19.7722        -1.4028        45.1108        31.4364        25.0481
         1.5930       778.2900         0.0101       -77.3161        -0.0132       -22.4405       -33.2566       -38.4690       -57.7716       -39.9895       -45.4100
         1.6025       773.7000         0.0063      -166.1702        13.0343        86.4111       -22.2416        41.1046       -78.1097       -76.3662       -37.7904
         1.6246       763.1700         0.0031         3.7508        40.3614        37.2232        27.1118        48.1507        18.2426        27.1137        31.1690
         1.6340       758.7600         0.0042        53.2157        17.7901       -14.2983        18.9025        -1.2312        22.9696        37.0023        19.5802
         1.6599       746.9600         0.0003       -20.2829         7.5820         2.3740        -3.4423        -5.4449       -25.4641        -0.2555       -10.3881
         1.6925       732.5700         0.0008        46.1341        -1.4200        -6.7598        12.6514        -8.5266        22.2090        27.6753        13.7859
         1.6975       730.3800         0.0109      -318.7144       -17.4693        -2.5061      -112.8966       -12.1395      -190.9988      -159.7397      -120.9594
         1.7606       704.2100         0.0050        93.0844         3.2993       -20.1116        25.4240        22.1863        49.1146        75.3886        48.8965
         1.7657       702.1800         0.0014        15.6036       -77.0770        57.1449        -1.4428        -9.8887        39.9328       -26.6272         1.1390
         1.8002       688.7200         0.0127      -133.4098        -9.0848         7.2357       -45.0863        -2.8711       -69.6733       -76.4591       -49.6678
         1.8254       679.2400         0.0110       131.4607       -64.8651       -19.9162        15.5598       -56.0750        72.1732        40.5425        18.8803
         1.8494       670.3900         0.0127        67.9298        47.6793        12.2320        42.6137        37.6872        74.3895        25.2335        45.7701
         1.8638       665.2200         0.0091       230.9541       -56.1676       -54.0005        40.2620       -48.5038        89.4184        93.9009        44.9385
         1.8932       654.9100         0.0116       210.9232        17.4369        22.5915        83.6505        27.1916       113.3824       133.9657        91.5132
         1.8968       653.6500         0.0002         0.3789       -15.3053        -8.9820        -7.9695       -21.4104        -8.6031        -5.5360       -11.8498
         1.9242       644.3300         0.0002       -22.3282         3.5429        29.4158         3.5435        13.9499        -7.2243        -6.3841         0.1138
