             eV             nm  Absorbance(f)     XX(length)     YY(length)     ZZ(length)      R(length)   XX(velocity)   YY(velocity)   ZZ(velocity)    R(velocity)
         0.6670      1858.8600         0.0004       -23.1268        74.8908        56.3215        36.0285       101.9009        32.3005        38.1776        57.4597
         0.7827      1584.0700         0.0000        -5.7318       -31.0906        48.2866         3.8214         5.9185        40.3899       -31.9491         4.7864
         0.8852      1400.7000         0.0018       -14.6103      -203.6327         8.1768       -70.0220      -122.6457        -8.1749      -118.5643       -83.1283
         0.9775      1268.3300         0.0006        67.2777       -51.7151       137.2963        50.9530        45.6042       100.0637       -25.8053        39.9542
         1.0177      1218.3000         0.0002       -52.9643       -29.3214         6.3433       -25.3141       -19.4762       -42.6896       -44.1148       -35.4268
         1.0877      1139.8400         0.0003       -38.5631       -58.7280        -1.1813       -32.8241       -28.6860       -16.5104       -43.0701       -29.4222
         1.1643      1064.8600         0.0009       -91.4796        -6.1769       -45.8490       -47.8352       -22.5486       -62.2038       -45.3044       -43.3523
         1.1901      1041.7900         0.0017         4.7355      -165.9421       -59.8310       -73.6792      -116.4043       -26.5591       -85.4789       -76.1474
         1.2468       994.4000         0.0029       117.9197        17.9053       -91.6498        14.7250       -30.2922         5.9641        58.0392        11.2370
         1.3095       946.8300         0.0051       212.5416       -40.2383        -5.8890        55.4714       -24.0228       129.7707        95.6560        67.1347
         1.3375       926.9500         0.0013        -8.3843      -160.3233       113.6950       -18.3375       -26.2492        51.1473       -81.8776       -18.9932
         1.3769       900.4500         0.0048        75.5261        24.0174        82.1832        60.5756        51.1370        81.0923        53.6372        61.9555
         1.4068       881.3100         0.0006        -0.2456        -8.3737         5.7314        -0.9626        -9.1467         3.3774         3.2095        -0.8533
         1.4355       863.6800         0.0005       -10.9525       -66.8285        18.7187       -19.6874       -26.2589         1.2774       -37.4173       -20.7996
         1.5019       825.5200         0.0014        -7.5234        -1.0791        -4.1273        -4.2432        -1.9387        -5.8016        -4.5466        -4.0956
         1.5288       811.0000         0.0013        30.6969       -31.3416        10.5194         3.2915        -8.1302        22.9712        -2.4808         4.1201
         1.5742       787.6200         0.0030       -38.3014         9.4217        19.1760        -3.2346        19.5384       -16.7566       -13.9266        -3.7150
         1.6162       767.1200         0.0000         1.7581        -0.3402         0.0376         0.4852        -0.6533        -0.2961         0.4066        -0.1809
         1.6495       751.6200         0.0012        16.7953       -71.8977        33.1285        -7.3246       -16.2420        28.3350       -29.1940        -5.7003
         1.6986       729.9000         0.0012        30.2191         3.6594       -14.5105         6.4560       -10.5447        21.6427         8.7185         6.6055
         1.7601       704.4000         0.0004         6.5522       -26.9581         6.1504        -4.7518         5.5174         4.3682         9.0161         6.3006
