             eV             nm  Absorbance(f)     XX(length)     YY(length)     ZZ(length)      R(length)   XX(velocity)   YY(velocity)   ZZ(velocity)    R(velocity)
         0.2178      5692.5600         0.0013       -83.3703        -0.2633       -46.0611       -43.2316       -31.6341       -86.1331       -51.3870       -56.3847
         0.2675      4635.3600         0.0001        11.7074        -1.7967         1.7691         3.8933         1.7619        10.0109         7.0008         6.2579
         0.4628      2679.0000         0.0010        71.9418       -29.0631         9.2779        17.3855         7.8042        54.1819        44.1674        35.3845
         0.6018      2060.2000         0.0008        19.3253        -1.0948        23.7061        13.9789        24.2943        33.8071        16.0686        24.7233
         0.6228      1990.6200         0.0000        -5.8756         7.2488         1.8426         1.0719         5.3387        -0.2060         6.7373         3.9567
         0.6366      1947.5000         0.0026         3.2184         3.6858         0.7272         2.5438         3.2596        -3.1439         9.3971         3.1709
         0.6670      1858.9500         0.0027        -9.2869         5.3446         6.6021         0.8866        15.0769         7.1723        -2.5518         6.5658
         0.6870      1804.7800         0.0014       168.6656         2.0330         1.3022        57.3336         0.0365        95.2797        93.3278        62.8813
         0.7432      1668.2900         0.0066       838.5083        -7.5981       -20.7885       270.0406       -20.6395       539.2328       541.6841       353.4258
         0.7664      1617.8000         0.0002         6.9955       -40.4619        23.0376        -3.4763       -14.7857         1.0532       -57.3536       -23.6954
         0.8325      1489.2400         0.0010         2.9656       -29.1675        -1.2973        -9.1664       -26.3858         0.7090       -25.1164       -16.9311
         0.8490      1460.3500         0.0036      -474.3292        15.9639        -3.0497      -153.8050         8.0839      -290.9815      -291.1190      -191.3388
         0.8848      1401.2300         0.0002       -69.1537         9.4911        10.1320       -16.5102        14.8731       -52.3232       -60.7624       -32.7375
         0.9313      1331.3500         0.0009        77.1931        -1.5137        10.0120        28.5638         3.4101        48.1991        48.2934        33.3008
         0.9430      1314.8300         0.0099       209.6882         4.0187        -5.6752        69.3439         1.9082       127.0730       144.3644        91.1152
         0.9652      1284.5100         0.0005       -15.9463        14.9031         6.1767         1.7112         5.2351       -23.5900        -0.0262        -6.1270
         0.9673      1281.7400         0.0013      -140.9315        -6.9084         5.6912       -47.3829         1.7721       -95.2749       -99.2764       -64.2597
         0.9954      1245.5300         0.0026      -125.0151         7.0043        13.6789       -34.7773        12.0511       -68.4403       -68.2450       -41.5447
         0.9996      1240.2800         0.0031       -50.2488        -1.1618        -0.6422       -17.3510        -4.6565       -39.2634       -24.3945       -22.7715
         1.0264      1207.9800         0.0004        48.3327        27.8053        -0.0579        25.3600        21.6974        40.6063        50.1198        37.4745
         1.0380      1194.5000         0.0020       -52.3366       -23.9955       -27.7289       -34.6870       -40.8315       -40.3000       -59.4715       -46.8677
         1.0598      1169.8300         0.0015        67.6435         6.1366         2.4238        25.4013         0.7813        44.2440        34.2553        26.4269
         1.0718      1156.7400         0.0100        46.0824        16.9052        -2.9744        20.0044        12.6677        11.7035        49.5078        24.6263
         1.1026      1124.4600         0.0004       -16.3073       -71.4370       -25.3124       -37.6855       -39.1821       -19.8165       -39.7498       -32.9161
         1.1247      1102.3500         0.0014        68.7784        -0.7061        -0.3663        22.5687        -0.0577        36.7059        30.8401        22.4961
         1.1453      1082.5100         0.0019       -83.9599         9.4933         0.3503       -24.7054         1.0867       -51.7767       -62.4250       -37.7050
         1.1682      1061.3200         0.0061      -224.4753        12.4703       -13.2685       -75.0912        -8.0678      -143.5579      -100.4411       -84.0223
         1.1903      1041.6100         0.0059      -143.2497       -15.6299        21.3876       -45.8307        -4.3632       -52.9543       -88.2462       -48.5212
         1.2168      1018.9800         0.0011      -121.5382       -32.8370         1.3402       -51.0117       -15.6391       -77.3650       -85.5359       -59.5134
         1.2529       989.6000         0.0011       -25.6179        -0.0604        42.8568         5.7262        17.7089        11.6990       -24.1273         1.7602
         1.2657       979.6000         0.0011        28.0026        27.0874       -13.8123        13.7592         5.0640        10.8957        29.9099        15.2898
         1.2796       968.9000         0.0002        -3.6362        -0.7762        -0.4521        -1.6215        -0.3847        -3.1688        -1.3409        -1.6315
         1.3355       928.4000         0.0007       -14.0653        -2.3905        -8.0426        -8.1661       -10.1162       -16.0249        -9.6697       -11.9370
         1.3666       907.2200         0.0008        -7.7758       -46.0361       -67.7487       -40.5202       -76.3781       -34.5240       -30.9836       -47.2952
         1.3898       892.1200         0.0006         6.2630       -33.0345       -34.6083       -20.4599       -42.1877       -14.7546        -7.8309       -21.5911
         1.3943       889.2300         0.0008        46.0859         4.1568       -27.2584         7.6614        -8.9446        14.7464        29.1168        11.6395
         1.4071       881.1500         0.0007         1.8363       -13.6103        -2.7508        -4.8416       -11.7390         0.6773        -3.0788        -4.7135
         1.4293       867.4400         0.0009        -9.9896        49.1734         0.0845        13.0894        40.2161        -5.7104        20.9086        18.4714
         1.4353       863.8300         0.0002         4.2858       -50.7780       -30.8355       -25.7759       -59.1604       -13.8215       -27.8615       -33.6145
         1.4654       846.0700         0.0009        63.1450       -47.7018        30.9878        15.4770        -4.2615        32.5959        -9.2201         6.3715
         1.4704       843.2200         0.0016        43.2891        13.8586       -14.1656        14.3273        -5.1255         7.7909        28.3764        10.3472
         1.5041       824.3200         0.0002         0.4739        -1.2809       -15.0209        -5.2759       -10.9880        -7.0911        -0.2272        -6.1021
         1.5134       819.2200         0.0012       -24.6796       -11.8805         2.6867       -11.2911        -1.0816       -10.9863       -19.4258       -10.4979
         1.5203       815.5100         0.0021        29.5340        -4.9386         4.1729         9.5894        -3.0719        22.2421         5.0115         8.0606
         1.5534       798.1700         0.0003         6.1835         0.7211         0.4268         2.4438         0.9316         4.6872         4.2659         3.2949
         1.6154       767.5100         0.0016         4.9677        21.3978         2.2503         9.5386        18.7126        -0.7007        19.7988        12.6036
         1.6442       754.0700         0.0112        36.9768        24.1431      -130.8477       -23.2426       -97.7364       -64.8719        27.0354       -45.1910
         1.6668       743.8400         0.0030       125.9068        -2.5872         7.3767        43.5655        -0.0444        76.4604        60.3290        45.5817
         1.6863       735.2600         0.0132      -234.9731        -7.1329       -10.4684       -84.1915       -16.7015      -144.8794      -117.1411       -92.9073
         1.6966       730.7700         0.0028        94.8286        -9.4235       -69.3684         5.3456       -58.3693       -10.1588        46.7768        -7.2504
         1.7279       717.5600         0.0025        46.1496        17.3807         2.7975        22.1093        12.5416        27.9228        30.4884        23.6509
         1.7361       714.1700         0.0082       214.8790       -22.5401       -72.9613        39.7926       -43.9688        98.1329        98.4452        50.8698
         1.7464       709.9300         0.0017       -37.7032       -27.9460        75.6164         3.3224        34.3946        19.6259       -30.6041         7.8054
         1.7653       702.3500         0.0079       -57.5553         9.6372         0.6314       -15.7623        -0.3928       -34.4462       -19.9660       -18.2683
         1.7795       696.7300         0.0004       -13.0436       -61.4358         0.4945       -24.6616       -47.0612        -8.3131       -36.6955       -30.6899
         1.8014       688.2800         0.0026       -12.4731       185.4260         5.4487        59.4672       131.8041        -2.6148        92.0092        73.7328
         1.8246       679.5200         0.0336      -100.7207       -44.5741        -4.8518       -50.0488       -35.8858       -62.8130       -60.6966       -53.1318
         1.8424       672.9500         0.0036        -1.4037       -49.6514       -60.3522       -37.1358       -54.8751       -33.1789       -28.5843       -38.8794
